epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86284,2.31697,4.23631,3.05006,0.04307,0.06238,0.4,0.05007,0.0104,1.84494,3.69568,2.97169,0.02425,0.0001667,0.0001667,0.0001667
2,4.2647,1.60971,3.45455,2.41929,0.04656,0.45634,0.46667,0.49339,0.36889,1.41842,2.50381,2.50522,0.03394,0.000349728,0.000349728,0.000349728
3,5.6079,1.2706,2.5513,2.21694,0.03623,0.49864,0.5,0.54345,0.353,1.20813,2.23553,2.46736,0.02295,0.000531358,0.000531358,0.000531358
4,6.95158,1.14783,2.15023,1.90451,0.03137,0.46676,0.63792,0.71496,0.56499,0.82019,1.61957,2.32679,0.0169,0.000710525,0.000710525,0.000710525
5,8.28105,1.03374,1.81059,1.88072,0.03768,0.78704,0.67778,0.82977,0.62736,0.8815,1.40055,2.20736,0.02277,0.000886181,0.000886181,0.000886181
6,9.6994,0.97879,1.53506,1.89153,0.02564,0.81704,0.97778,0.93803,0.68277,0.89981,1.2703,2.12095,0.0371,0.0010573,0.0010573,0.0010573
7,11,0.9828,1.32439,1.65964,0.03191,0.9609,0.98333,0.98411,0.67763,1.03215,1.17556,1.97758,0.02938,0.00122288,0.00122288,0.00122288
8,12.3006,0.9873,1.22743,1.61373,0.01868,0.96901,0.99444,0.9875,0.7233,0.91716,0.99748,1.89576,0.04287,0.00138197,0.00138197,0.00138197
9,13.6089,0.95455,1.1359,1.6503,0.03836,0.96901,0.99444,0.9875,0.7233,0.91716,0.99748,1.89576,0.04287,0.00153363,0.00153363,0.00153363
10,14.9374,0.90072,1.02037,1.49577,0.02141,0.97634,0.98843,0.99348,0.72421,0.89998,0.82198,1.77163,0.03165,0.00153854,0.00153854,0.00153854
11,16.2647,0.89125,0.94926,1.52554,0.01734,0.96133,0.97113,0.97984,0.76125,0.86594,0.8055,1.63414,0.01546,0.00150941,0.00150941,0.00150941
12,17.552,0.91402,0.89986,1.50954,0.0159,0.96133,0.97113,0.97984,0.76125,0.86594,0.8055,1.63414,0.01546,0.00147764,0.00147764,0.00147764
13,18.8429,0.90318,0.89054,1.45399,0.01391,0.97483,0.97222,0.99013,0.76417,0.8641,0.70474,1.55222,0.0171,0.00144335,0.00144335,0.00144335
14,20.271,0.87583,0.84779,1.33229,0.01259,0.9683,0.99444,0.98818,0.75565,0.85994,0.7651,1.42427,0.01522,0.0014067,0.0014067,0.0014067
15,21.5689,0.88136,0.8573,1.35878,0.01963,0.9683,0.99444,0.98818,0.75565,0.85994,0.7651,1.42427,0.01522,0.00136781,0.00136781,0.00136781
16,22.8598,0.92878,0.82506,1.43407,0.01647,0.99093,1,0.99456,0.79108,0.80435,0.68973,1.32446,0.01572,0.00132685,0.00132685,0.00132685
17,24.1704,0.8231,0.76263,1.24029,0.02143,0.97991,1,0.99389,0.78566,0.78981,0.6473,1.30331,0.01455,0.00128398,0.00128398,0.00128398
18,25.4808,0.82201,0.77517,1.27208,0.02791,0.9912,1,0.99434,0.75393,0.8216,0.62116,1.23466,0.01263,0.00123936,0.00123936,0.00123936
19,26.7869,0.77216,0.72234,1.17887,0.02083,0.9912,1,0.99434,0.75393,0.8216,0.62116,1.23466,0.01263,0.00119317,0.00119317,0.00119317
20,28.0914,0.79054,0.70825,1.20422,0.0174,0.98518,0.98333,0.99397,0.76734,0.76587,0.56031,1.1672,0.01819,0.0011456,0.0011456,0.0011456
21,29.4209,0.77728,0.66694,1.18335,0.02371,0.99279,0.9938,0.99484,0.80864,0.67832,0.52248,1.12291,0.03128,0.00109683,0.00109683,0.00109683
22,30.7205,0.74166,0.65239,1.13681,0.03698,0.99279,0.9938,0.99484,0.80864,0.67832,0.52248,1.12291,0.03128,0.00104705,0.00104705,0.00104705
23,32.174,0.72352,0.62544,1.10968,0.03552,0.99454,0.99444,0.99495,0.82431,0.6395,0.50102,1.13869,0.02263,0.000996456,0.000996456,0.000996456
